message,table
"[강화군청]코로나19 확진자 1명 발생, 감염의심자는 보건소에서 검체검사 받으세요. 군청 카톡채널(https://pf.kakao.com/_cxoxnGT) 참고. ",PD
"[광양시청] 코로나19 추석연휴 특별방역 협조에 감사드립니다. 발열, 기침, 호흡곤란 등 코로나 의심 증상 시 선별진료소로 문의바랍니다. ",PD
"[전라북도청] 코로나19 확산 방지를 위해 발열, 기침 등 증상이 있으면 바로 보건소로 문의, 선별진료소에서 검사 후 반드시 자가격리를 실천하여 주시기 바랍니다. ",PD
"[부여군청]추석연휴기간 외부인과 접촉 후 코로나19 증상(발열,기침,인후통 등)이 있으신 분은 외출을 자제하고 보건소에 상담 바랍니다.(041-830-8600) ",PD
"[용인시청] 용인시 거주 청소년 대상, 코로나블루 심리상담 지원. 필요시 아래번호로 심리상담 받으시기 바랍니다. ",PD
"[부산진구청] 부산진구 10월 5일 코로나19 확진자 1명 발생, 동선 역학조사 중이며, 마스크 착용 등 개인방역 준수 바랍니다. ",PD
[울산광역시] 코로나19 150~152번 확진자의 오늘 14시까지 파악된 동선(소독 완료)은 전 구군 홈페이지에서 확인 가능합니다. ,PD
"[청주시청] 시민 여러분이 코로나19 방역관입니다. 밀집·밀접·밀폐 등 고위험시설 방문과 행사·모임 자제, 마스크 착용, 손씻기, 거리두기 등 수칙준수 바랍니다. ",PD
[함양군청] 이용자는 코로나19 유증상시 출입금지/마스크착용(음식물 섭취 시 제외)/이용자 간 2m(최소 1m)이상 간격 유지/출입자명부작성 등 준수바랍니다 ,PD
"[성주군청] 코로나19 의심증상(발열, 인후통, 근육통 등)이 있으신 분은 관할 선별진료소를 방문하여 주시고, 마스크 착용에 적극 협조하여 주시기 바랍니다. ",PD
"[광주광역시]발열과 기침, 미각소실 등 코로나19 의심증상이 있는 분은 외출·만남 자제, 의료기관을 방문하지 말고 바로 거주지보건소에서 무료 검사받으시기 바랍니다 ",PD
"[부천시청] 코로나19 확진자 2명 발생[심곡본동 1명, 역곡동 1명] 자택 및 인근지역 방역소독 완료 blog.naver.com/bucheon-city ",PD
[용산구청]코로나 125번째 확진자 발생. 역학조사중. 확진자 이동경로는 홈페이지 및 블로그를 참고 바랍니다. blog.naver.com/ysnblog ,PD
